Code,Name,Product,Active,Pending,Status
101,Office,Land,TRUE,FALSE,approve
101,Office,Building,TRUE,FALSE,approve
101,Office,Fixture <Interior Work>,TRUE,FALSE,approve
201,ATM,Fixture <Interior Work>,TRUE,FALSE,approve
301,Kiosk,Fixture <Interior Work>,TRUE,FALSE,approve
101,Office,Furniture,TRUE,FALSE,approve
301,Kiosk,Furniture,TRUE,FALSE,approve
101,Office,Electrical Equipments,TRUE,FALSE,approve
201,ATM,Electrical Equipments,TRUE,FALSE,approve
101,Office,Other Office Equipments (except Computers),TRUE,FALSE,approve
201,ATM,Other Office Equipments (except Computers),TRUE,FALSE,approve
301,Kiosk,Other Office Equipments (except Computers),TRUE,FALSE,approve
601,POS,Other Office Equipments (except Computers),TRUE,FALSE,approve
101,Office,Computers & Peripherals,TRUE,FALSE,approve
001,Blank,Motor Cars,TRUE,FALSE,approve
001,Blank,Motor Cycles,TRUE,FALSE,approve
001,Blank,Software,TRUE,FALSE,approve
001,Blank,Basic Salary,TRUE,FALSE,approve
001,Blank,Personal Pay <Basic>,TRUE,FALSE,approve
001,Blank,Salary for Contractual Kiosk Staff <Basic Pay>,TRUE,FALSE,approve
001,Blank,House Rent Allowance,TRUE,FALSE,approve
001,Blank,Conveyance Allowance,TRUE,FALSE,approve
001,Blank,Medical Allowance,TRUE,FALSE,approve
001,Blank,Entertainment Allowance,TRUE,FALSE,approve
001,Blank,Washing Allowance,TRUE,FALSE,approve
001,Blank,Dearness Allowance,TRUE,FALSE,approve
001,Blank,Risk Allowance,TRUE,FALSE,approve
001,Blank,Evening Banking Allowance,TRUE,FALSE,approve
001,Blank,Discomfort Allowance,TRUE,FALSE,approve
001,Blank,Technical Allowance,TRUE,FALSE,approve
001,Blank,House Maintenance Allowance,TRUE,FALSE,approve
001,Blank,Medical Reimbursement,TRUE,FALSE,approve
001,Blank,Uniform And Other Apparels,TRUE,FALSE,approve
001,Blank,Utility Charges,TRUE,FALSE,approve
001,Blank,Ordinary Bonus,TRUE,FALSE,approve
001,Blank,Incentive Bonus,TRUE,FALSE,approve
001,Blank,Gratuity,TRUE,FALSE,approve
001,Blank,Leave Fare Assistance,TRUE,FALSE,approve
001,Blank,Bank's Contribution to EPF,TRUE,FALSE,approve
001,Blank,DMD's Remuneration,TRUE,FALSE,approve
001,salary ,Misc Expenses for DST employees,TRUE,FALSE,approve
002,Commission,Misc Expenses for DST employees,TRUE,FALSE,approve
001,Blank,Leave Encashment,TRUE,FALSE,approve
101,Office,Rent,TRUE,FALSE,approve
201,ATM,Rent,TRUE,FALSE,approve
301,Kiosk,Rent,TRUE,FALSE,approve
401,Godown,Rent,TRUE,FALSE,approve
501,Residential,Rent,TRUE,FALSE,approve
101,Office,VAT on Rent,TRUE,FALSE,approve
201,ATM,VAT on Rent,TRUE,FALSE,approve
301,Kiosk,VAT on Rent,TRUE,FALSE,approve
401,Godown,VAT on Rent,TRUE,FALSE,approve
501,Residential Premises,VAT on Rent,TRUE,FALSE,approve
001,Blank,City Corp./Municipality Taxes,TRUE,FALSE,approve
001,Blank,Trade License Fees,TRUE,FALSE,approve
001,Blank,Excise Duty on Bank's own Deposits with other Banks,TRUE,FALSE,approve
001,Blank,MD/DMD's Income Tax,TRUE,FALSE,approve
001,Blank,VAT/Tax on Other Activities <Expenses>,TRUE,FALSE,approve
001,Blank,Insurance for Cash in Transit,TRUE,FALSE,approve
001,Blank,Insurance for Cash in Safe/Counter,TRUE,FALSE,approve
001,Blank,Group Insurance Premium-Life,TRUE,FALSE,approve
101,Office,Insurance,TRUE,FALSE,approve
201,ATM,Insurance,TRUE,FALSE,approve
202,ATM 2,Insurance,TRUE,FALSE,approve
301,Kiosk,Insurance,TRUE,FALSE,approve
401,Godown,Insurance,TRUE,FALSE,approve
