Name,Can be Purchased,Product Type,Internal Category,Expense Account,Asset Type,Asset Category,Active,Pending,Status
Air-Conditioner,TRUE,asset,All,25103001,31,3101,TRUE,FALSE,approve
ATM Machine,TRUE,asset,All,25103002,32,3214,TRUE,FALSE,approve
Building,TRUE,asset,All,25101002,12,1202,TRUE,FALSE,approve
Car Maintenance,TRUE,service,All,42409501,,,TRUE,FALSE,approve
Cash Deposit Machine,TRUE,asset,All,25103002,32,3216,TRUE,FALSE,approve
CCTV System,TRUE,asset,All,25103002,32,3212,TRUE,FALSE,approve
Chair,TRUE,asset,All,25102002,21,2101,TRUE,FALSE,approve
Coat Stand,TRUE,asset,All,25102002,21,2111,TRUE,FALSE,approve
Computer CPU,TRUE,asset,All,25104001,41,4102,TRUE,FALSE,approve
Computer Monitor,TRUE,asset,All,25104001,41,4103,TRUE,FALSE,approve
Courier Service,TRUE,service,All,42501002,,,TRUE,FALSE,approve
Door,TRUE,asset,All,25102002,21,2107,TRUE,FALSE,approve
Drawer Unit,TRUE,asset,All,25102002,21,2103,TRUE,FALSE,approve
Electric Equipment Others,TRUE,asset,All,25103001,31,3199,TRUE,FALSE,approve
Fake Note or Cheque Detector,TRUE,asset,All,25103002,32,3211,TRUE,FALSE,approve
Fan,TRUE,asset,All,25103001,31,3107,TRUE,FALSE,approve
Fax Machine,TRUE,asset,All,25103001,31,3104,TRUE,FALSE,approve
Fixture,TRUE,asset,All,25102001,22,2201,TRUE,FALSE,approve
Fridge,TRUE,asset,All,25103001,31,3109,TRUE,FALSE,approve
Furniture,TRUE,asset,All,25102002,21,2199,TRUE,FALSE,approve
Generator,TRUE,asset,All,25103001,31,3105,TRUE,FALSE,approve
Interior Decoration,TRUE,asset,All,25102001,22,2201,TRUE,FALSE,approve
Internet Connectivity,TRUE,service,All,42324001,,,TRUE,FALSE,approve
IPS,TRUE,asset,All,25103001,31,3103,TRUE,FALSE,approve
KIOSK Furniture,TRUE,asset,All,25102002,21,2112,TRUE,FALSE,approve
Land,TRUE,asset,All,25101001,11,1101,TRUE,FALSE,approve
Land & Building,TRUE,asset,All,25101002,12,1201,TRUE,FALSE,approve
Laptop,TRUE,asset,All,25104001,41,4104,TRUE,FALSE,approve
Locker,TRUE,asset,All,25102002,21,2108,TRUE,FALSE,approve
Micro oven,TRUE,asset,All,25103001,31,3108,TRUE,FALSE,approve
Mobile Phone Set,TRUE,asset,All,25103002,32,3207,TRUE,FALSE,approve
Motor Car,TRUE,asset,All,25105001,51,5101,TRUE,FALSE,approve
Motor Cycle,TRUE,asset,All,25105002,52,5201,TRUE,FALSE,approve
Motor Vehicle,TRUE,asset,All,25105001,51,5101,TRUE,FALSE,approve
