Layer,Code,Name,Parent Account,Type,active,pending,state
Layer 4,11101,Paid up Capital,Capital,View Type,True,False,approve
Layer 4,11201,General Reserve,Reserve,View Type,True,False,approve
Layer 4,11202,Statutory Reserve,Reserve,View Type,True,False,approve
Layer 4,11203,Revaluation Reserve,Reserve,View Type,True,False,approve
Layer 4,11204,Share Premium,Reserve,View Type,True,False,approve
Layer 4,11205,Retained earnings,Reserve,View Type,True,False,approve
Layer 4,11206,Foreign Currency Translational Gain/ Loss,Reserve,View Type,True,False,approve
Layer 4,12101,Borrowings under Bangladesh Bank-others,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12102,Borrowings under BB Pre-finance,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12103,Borrowings under BB Refinance,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12104,Investment Promotion and Financing Facility (IPFF) FC,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12105,Long Term Financing Facility (LTFF),Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12106,Borrowing under EDF from Bangladesh Bank,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12201,Term Borrowing in FC,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12202,Call Borrowing <BDT>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12203,Term Borrowing <BDT>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12204,REPO <Borrowings under>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12205,Call Borrowing in FC,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12206,Short Term Borrowing <BDT>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12207,Short Term Borrowing <FC>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12301,Borrowing fm. Other Institutes,Borrowings from other Institutions,View Type,True,False,approve
Layer 4,12302,Borrowing under Pre-finance (Other Institute),Borrowings from other Institutions,View Type,True,False,approve
Layer 4,12303,Borrowings from NBFI,Borrowings from other Institutions,View Type,True,False,approve
Layer 4,12501,Interest Payable on Borrowings fm BB,Interest Payable on Borrowings,View Type,True,False,approve
Layer 4,12502,Interest Payable on Borrowings from other Banks,Interest Payable on Borrowings,View Type,True,False,approve
Layer 4,12503,Interest Payable on Borrowings fm other Institution,Interest Payable on Borrowings,View Type,True,False,approve
Layer 4,12504,Interest Payable on Borrowings fm other Institution <prefinance>,Interest Payable on Borrowings,View Type,True,False,approve
Layer 4,13101,Current Accounts <BDT>,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13102,Current Accounts <FC>,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13103,MiSc Customer Deposit,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13104,Sundry Deposits <FC>,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13105,Sundry Deposits,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13201,Term Deposits,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13202,Term Deposits Reinvestments,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13203,Recurring Deposit,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13204,Term Deposits FC,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13205,Special Notice Deposit,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13206,Savings Bank Account,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13207,Savings Bank Account <FC>,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13208,Other Deposit product,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13301,Current Deposits from other Bank,Bank & NBFI Deposits -Current & Others,View Type,True,False,approve
Layer 4,13302,Current Deposits from NBFI,Bank & NBFI Deposits -Current & Others,View Type,True,False,approve
Layer 4,13401,Bank Deposits -FD,Bank & NBFI Deposits -FD & Others,View Type,True,False,approve
Layer 4,13402,NBFI Deposits -FD,Bank & NBFI Deposits -FD & Others,View Type,True,False,approve
Layer 4,13501,Interest Payable on Current Deposits,IP on Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13601,Interest Payable on TD Accounts,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13602,Interest Payable on Savings Bank Accounts,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13603,Interest payable on Recurring Deposit,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13604,Interest Payable on Special Notice Deposits,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13605,Interest Payable on Term Deposits FC,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13606,Interest Payable on Savings Bank Accounts FC,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13607,Interest payable on Term Deposits Reinvestments,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13608,Interest Payable on Other Deposit Products,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13701,Interest Payable on Bank Deposits,Interest Payable on Bank & NBFI Deposits,View Type,True,False,approve
Layer 4,13702,Interest Payable on NBFI Deposits,Interest Payable on Bank & NBFI Deposits,View Type,True,False,approve
Layer 4,13801,Bills Payable,Customer Deposits -Bills Payable,View Type,True,False,approve
Layer 4,14102,Interest on Subordinated Bond,Subordinated Bond,View Type,True,False,approve
Layer 4,14202,Interest on Other Bond,Other Bond,View Type,True,False,approve
Layer 4,15101,Interest Suspenses Account ,Interest Suspenses Account ,View Type,True,False,approve
Layer 4,15201,Clearing House Adjustment,Other misc. liabilities,View Type,True,False,approve
Layer 4,15202,Provision for Tax,Other misc. liabilities,View Type,True,False,approve
Layer 4,15203,Adjusting A/c Credit,Other misc. liabilities,View Type,True,False,approve
Layer 4,15204,Profit for the Year,Other misc. liabilities,View Type,True,False,approve
Layer 4,15205,Unearned Income,Other misc. liabilities,View Type,True,False,approve
Layer 4,15206,Liabilities under Finance Lease,Other misc. liabilities,View Type,True,False,approve
Layer 4,15207,Deferred Tax Liability,Other misc. liabilities,View Type,True,False,approve
Layer 4,15208,Staff Fund,Other misc. liabilities,View Type,True,False,approve
Layer 4,15209,Contribution to MTB Foundation,Other misc. liabilities,View Type,True,False,approve
Layer 4,15210,Repo Interest Income Account,Other misc. liabilities,View Type,True,False,approve
Layer 4,15211,Exchange Equalization Fund,Other misc. liabilities,View Type,True,False,approve
Layer 4,15212,Advance Intt. on Treasury Bill,Other misc. liabilities,View Type,True,False,approve
Layer 4,15213,NOSTRO A/c Adjustment,Other misc. liabilities,View Type,True,False,approve
Layer 4,15214,Transit A/c- Reverse Repo,Other misc. liabilities,View Type,True,False,approve
Layer 4,15215,Revaluation Gain on HFT Securities,Other misc. liabilities,View Type,True,False,approve
Layer 4,15216,VAT payable,Other misc. liabilities,View Type,True,False,approve
Layer 4,15217,Excise Duty payable,Other misc. liabilities,View Type,True,False,approve
Layer 4,15218,Source Tax <TDS> payable,Other misc. liabilities,View Type,True,False,approve
Layer 4,15219,Card Settlement Account,Other misc. liabilities,View Type,True,False,approve
Layer 4,15220,Card Settlement Account <FC>,Other misc. liabilities,View Type,True,False,approve
Layer 4,15221,NPSB Transaction Settlement,Other misc. liabilities,View Type,True,False,approve
Layer 4,15222,Agent Banking,Other misc. liabilities,View Type,True,False,approve
Layer 4,15223,Outstanding Expenses,Other misc. liabilities,View Type,True,False,approve
Layer 4,15224,Bonus Payable,Other misc. liabilities,View Type,True,False,approve
Layer 4,15225,Gratuity Payable,Other misc. liabilities,View Type,True,False,approve
Layer 4,15301,Provision for Advances,Provision,View Type,True,False,approve
Layer 4,15302,Provision for Investments,Provision,View Type,True,False,approve
Layer 4,15303,Provision for others,Provision,View Type,True,False,approve
Layer 4,15401,Accumulated Depreciation on Immovable Property,Accumulated Depreciation,View Type,True,False,approve
Layer 4,15402,Accumulated Depreciation on Furniture & Fixture,Accumulated Depreciation,View Type,True,False,approve
Layer 4,15403,Accumulated Depreciation on Office Equipments,Accumulated Depreciation,View Type,True,False,approve
